Longitude,Latitude
-111.981672867,40.676154877
-111.981907985,40.6555521560001
-111.97646439,40.630409657
-111.976986311,40.6802997550001
-111.967493584,40.67665621
-111.938859247,40.632986428
-111.957949327,40.676898018
-111.95141379,40.6841620710001
-111.901358929,40.6651617900001
-111.945537479,40.6531224330001
-111.952072519,40.692386583
-111.952564938,40.663095782
-111.931431789,40.6447649720001
-111.898552682,40.6349437310001
-111.938939872,40.6804070530001
-111.938814379,40.6396119830001
-111.945589751,40.6821192690001
-111.980053847,40.707001587
-111.915173187,40.666039955
-111.908972787,40.6998720770001
-111.906579055,40.6869847020001
-111.910180869,40.6505943650001
-111.90553377,40.65430013
-111.903408295,40.6897394580001
-111.901303195,40.6589933560001
-111.903151785,40.623212256
-111.887930021,40.6578418820001
-111.888123726,40.69183722
-111.938841999,40.64964681
-111.917039169,40.699419882
-111.965838578,40.696625705
-111.913383438,40.687029727
-111.961957916,40.6821137920001
-111.9127981,40.67453944
-111.960837843,40.6676661830001
-111.914178931,40.6530908330001
-111.961700882,40.653122829
-111.912560284,40.631479174
-111.945052477,40.6676576400001
-111.98164037,40.690649792
-111.955908839,40.696698428
-111.981780349,40.660942983
-111.997455122,40.667399141
-111.998849877,40.6526832440001
-111.955917004,40.6676666020001
-111.888264599,40.6828012230001
-111.802522688,40.6743352710001
-111.944837924,40.696638894
-111.938931654,40.690180055
-111.938833445,40.659770026
